Date,Open,High,Low,Close,Adj Close,Volume
1982-10-05,9.585986,9.617261,9.539072,9.554710,3.243299,2848862
1982-10-06,9.883104,10.148947,9.617261,10.070758,3.418468,5003094
1982-10-07,10.133309,10.195861,10.070758,10.164585,3.450317,5150973
1982-10-08,10.227136,10.352239,10.086396,10.289688,3.492784,3724144
1982-10-11,10.383514,10.571168,10.195861,10.383514,3.524632,3845644
1982-10-12,10.274050,10.586806,10.211498,10.336601,3.508707,3725742
1982-10-13,10.367877,10.539893,10.211498,10.414790,3.535246,3864029
1982-10-14,10.242774,10.399152,10.086396,10.148947,3.445009,2239762
1982-10-15,10.070758,10.195861,9.945655,9.976931,3.386620,2558700
1982-10-18,10.399152,10.618082,10.180223,10.618082,3.604256,2589875
1982-10-19,10.524255,10.602444,10.430428,10.492979,3.561789,2352469
1982-10-20,10.571168,10.696271,10.430428,10.649357,3.614870,4824041
1982-10-21,10.602444,10.727547,10.461704,10.649357,3.614870,3705759
1982-10-22,10.711909,10.837011,10.571168,10.664995,3.620177,2471572
1982-10-25,10.508617,10.602444,10.414790,10.430428,3.540554,2205390
1982-10-26,10.414790,10.586806,10.227136,10.524255,3.572406,2696987
1982-10-27,10.618082,10.711909,10.508617,10.602444,3.598946,2922402
1982-10-28,10.633720,10.711909,10.539893,10.539893,3.577715,1783336
1982-10-29,10.680633,10.852649,10.492979,10.743184,3.646720,2996741
1982-11-01,10.837011,11.009027,10.649357,10.993390,3.731650,2420414
1982-11-02,11.102854,11.212319,10.977752,11.118492,3.774115,1843287
1982-11-03,11.415611,11.681454,11.149768,11.681454,3.965209,3309284
1982-11-04,11.556351,11.790919,11.321784,11.384335,3.864356,4720926
1982-11-05,11.431249,11.556351,11.306146,11.493800,3.901513,2044722
1982-11-08,11.337422,11.462524,11.212319,11.227957,3.811273,2283726
1982-11-09,11.368697,11.462524,11.259233,11.431249,3.880280,2506743
1982-11-10,11.415611,11.603265,11.212319,11.259233,3.821891,2604263
1982-11-11,11.243595,11.384335,11.102854,11.384335,3.864356,3859233
1982-11-12,11.368697,11.478162,11.259233,11.337422,3.848430,2079893
1982-11-15,11.149768,11.227957,11.055941,11.055941,3.752886,2795306
1982-11-16,10.962114,11.118492,10.790098,10.977752,3.726343,3084668
1982-11-17,11.134130,11.227957,11.040303,11.134130,3.779424,2335683
1982-11-18,11.227957,11.337422,11.102854,11.337422,3.848430,2214183
1982-11-19,11.368697,11.462524,11.259233,11.321784,3.843121,3034310
1982-11-22,11.165406,11.353060,10.962114,10.962114,3.721034,2324492
1982-11-23,10.993390,11.055941,10.915200,10.993390,3.731650,2065505
1982-11-24,11.071579,11.118492,11.009027,11.071579,3.758189,2198196
1982-11-26,11.102854,11.134130,11.071579,11.071579,3.758189,1119881
1982-11-29,11.118492,11.165406,11.055941,11.118492,3.774115,1987969
1982-11-30,11.306146,11.571989,11.040303,11.571989,3.965982,4488317
1982-12-01,11.540713,11.665816,11.415611,11.478162,3.933827,4270895
1982-12-02,11.540713,11.603265,11.462524,11.462524,3.928468,3111047
1982-12-03,11.525076,11.587627,11.446886,11.462524,3.928468,1689014
1982-12-06,11.775281,12.088037,11.462524,11.947297,4.094612,3199774
1982-12-07,12.150588,12.338242,11.962935,12.181864,4.175004,3200573
1982-12-08,12.260053,12.447707,12.072399,12.134951,4.158923,3295695
1982-12-09,12.088037,12.260053,11.916021,11.916021,4.083891,2422812
1982-12-10,11.884745,12.072399,11.697092,11.728367,4.019578,2278130
1982-12-13,11.759643,11.806556,11.712729,11.759643,4.030294,853699
1982-12-14,11.853470,12.072399,11.634540,11.681454,4.003501,3348452
1982-12-15,11.525076,11.634540,11.415611,11.431249,3.917748,3607439
1982-12-16,11.540713,11.603265,11.462524,11.509438,3.944545,1517155
1982-12-17,11.509438,11.618903,11.399973,11.587627,3.971345,2482762
1982-12-20,11.665816,11.728367,11.603265,11.618903,3.982064,2115864
1982-12-21,11.822194,12.041124,11.603265,12.009848,4.116049,1695409
1982-12-22,12.150588,12.306967,11.978572,12.197502,4.180360,2396433
1982-12-23,12.197502,12.306967,12.072399,12.244415,4.196441,1533142
1982-12-27,12.353880,12.510258,12.181864,12.416431,4.255393,1761754
1982-12-28,12.275691,12.432069,12.103675,12.134951,4.158923,1060729
1982-12-29,12.197502,12.291329,12.103675,12.228778,4.191080,1369276
1982-12-30,12.025486,12.244415,11.790919,11.962935,4.099970,1426829
1982-12-31,11.931659,12.009848,11.853470,11.869108,4.067815,753781
1983-01-03,11.681454,11.884745,11.462524,11.478162,3.933827,2025538
1983-01-04,11.587627,11.759643,11.399973,11.712729,4.014218,2286124
1983-01-05,11.665816,11.759643,11.556351,11.634540,3.987421,2079094
1983-01-06,11.822194,12.041124,11.603265,11.931659,4.089251,2609858
1983-01-07,12.119313,12.338242,11.884745,12.088037,4.142845,3395613
1983-01-10,12.228778,12.416431,12.025486,12.400794,4.250035,3134228
1983-01-11,12.275691,12.432069,12.103675,12.244415,4.196441,2401229
1983-01-12,12.353880,12.510258,12.197502,12.197502,4.180360,3685775
1983-01-13,12.166226,12.322605,12.009848,12.103675,4.148205,2485160
1983-01-14,12.088037,12.213140,11.947297,12.041124,4.126768,1986370
1983-01-17,12.103675,12.166226,12.025486,12.072399,4.137486,2382045
1983-01-18,12.103675,12.166226,12.025486,12.072399,4.137486,3200573
1983-01-19,11.978572,12.103675,11.853470,11.962935,4.099970,1379668
1983-01-20,11.962935,12.056762,11.853470,11.884745,4.073174,1126276
1983-01-21,11.822194,11.916021,11.728367,11.744005,4.024938,1802521
1983-01-24,11.446886,11.540713,11.353060,11.509438,3.944545,3206169
1983-01-25,11.634540,11.712729,11.556351,11.697092,4.008860,2264542
1983-01-26,11.650178,11.759643,11.540713,11.603265,3.976703,1827300
1983-01-27,11.697092,11.916021,11.478162,11.916021,4.083891,4011108
1983-01-28,12.447707,12.604085,12.275691,12.463345,4.271471,9899076
1983-01-31,12.729188,12.948117,12.494621,12.948117,4.437615,4879196
1983-02-01,12.791739,12.963755,12.604085,12.619723,4.325067,4357224
1983-02-02,12.572810,12.713550,12.416431,12.541534,4.298269,3457962
1983-02-03,12.557172,12.650999,12.463345,12.510258,4.287550,2706579
1983-02-04,12.525896,12.572810,12.463345,12.572810,4.308990,2613855
1983-02-07,12.776101,12.916842,12.619723,12.885566,4.416178,2803299
1983-02-08,12.791739,12.948117,12.619723,12.729188,4.362581,2789711
1983-02-09,12.729188,12.823015,12.635361,12.823015,4.394738,3315679
1983-02-10,12.932480,13.073220,12.791739,12.963755,4.442974,2136647
1983-02-11,12.932480,13.073220,12.776101,12.854291,4.405457,1675425
1983-02-14,12.916842,13.010669,12.823015,12.979393,4.448334,1247776
1983-02-15,12.869928,12.979393,12.760464,12.760464,4.373302,2485960
1983-02-16,12.838653,12.932480,12.729188,12.729188,4.362581,1694609
1983-02-17,12.682274,12.791739,12.557172,12.729188,4.362581,1839291
1983-02-18,12.869928,13.120134,12.619723,12.979393,4.448334,2171818
1983-02-22,13.088858,13.229598,12.948117,12.995031,4.453691,2572289
1983-02-23,13.213960,13.385977,13.026307,13.385977,4.587677,3046300
1983-02-24,13.479803,13.620544,13.339063,13.604906,4.662709,3644209
1983-02-25,13.573630,13.636182,13.511079,13.589268,4.657353,2819286
1983-02-28,13.589268,13.698733,13.479803,13.573630,4.651993,2446792
1983-03-01,13.761284,13.917662,13.604906,13.886387,4.759179,6118978
1983-03-02,13.589268,13.698733,13.479803,13.511079,4.666286,4150194
1983-03-03,13.495441,13.604906,13.385977,13.385977,4.623078,2578684
1983-03-04,13.432890,13.604906,13.260874,13.589268,4.693293,2446792
1983-03-07,13.479803,13.604906,13.354701,13.511079,4.666286,1757757
1983-03-08,13.213960,13.417252,13.010669,13.041944,4.504261,2122258
1983-03-09,13.104496,13.245236,12.963755,13.213960,4.563673,2325292
1983-03-10,12.979393,13.245236,12.697912,12.885566,4.450255,1998360
1983-03-11,12.807377,12.901204,12.697912,12.823015,4.428652,1594691
1983-03-14,12.885566,12.979393,12.776101,12.916842,4.461057,1796925
1983-03-15,12.869928,12.948117,12.791739,12.932480,4.466459,1931215
1983-03-16,12.916842,13.057582,12.776101,12.776101,4.412447,1934412
